path,outputPath,timestamp,original,title,length,digest
/SysGBA/(GameListGBA.php,SysGBA/(GameListGBA.php,20101225070031,http://vgmapper.com/SysGBA/(GameListGBA.php,Game Boy Advance maps and media,1150,CH7BVVYCQPP4S67WALZ25K7LX7SWEX2N
/SysGBA/D/DensetsunoStafy.html,SysGBA/D/DensetsunoStafy.html,20120602045235,http://vgmapper.com:80/SysGBA/D/DensetsunoStafy.html,Densetsu no Stafy maps and media,857,UO7XIVNIFMNQ43FP2JOMEMUR6XLYSRVL
/SysGBA/F/FinalFantasy1and2DawnofSouls.html,SysGBA/F/FinalFantasy1and2DawnofSouls.html,20121218003939,http://vgmapper.com:80/SysGBA/F/FinalFantasy1and2DawnofSouls.html,Final Fantasy 1 and 2 Dawn of Souls maps and media,1888,PO35KOMM3R6W7227O473RMEZ4N7C65OW
/SysGBA/F/FinalFantasy4Advance.html,SysGBA/F/FinalFantasy4Advance.html,20120505074355,http://vgmapper.com:80/SysGBA/F/FinalFantasy4Advance.html,Final Fantasy 4 Advance maps and media,948,WBCGGVNSKJPGKX6GPLZWS3NAQFQ3PQIS
/SysGBA/GBAD.php,SysGBA/GBAD.php,20120801004329,http://vgmapper.com:80/SysGBA/GBAD.php,Game Boy Advance maps and media,1292,PSVCASIC47CXVFQQDZKM4BSTQ7V4UOFW
/SysGBA/GBAF.php,SysGBA/GBAF.php,20120502235714,http://vgmapper.com:80/SysGBA/GBAF.php,Game Boy Advance maps and media,1387,YMKNMDE7RREPXNRR4ZORLC76V2LHYQ5T
/SysGBA/GBAG.php,SysGBA/GBAG.php,20120602045239,http://vgmapper.com:80/SysGBA/GBAG.php,Game Boy Advance maps and media,1284,76L4PXRGTLSM3TOJOKMT2DIUNRCJ2UTG
/SysGBA/GBAM.php,SysGBA/GBAM.php,20120602045244,http://vgmapper.com:80/SysGBA/GBAM.php,Game Boy Advance maps and media,1406,DPZWI3SEHKD7RJKJ7S4ZEYQQ2M4ZWFPS
/SysGBA/GBAP.php,SysGBA/GBAP.php,20121102062611,http://www.vgmapper.com:80/SysGBA/GBAP.php,Game Boy Advance maps and media,1425,RLBW35RQKJWA4YTDKXMHAHFQKNZEI4AJ
/SysGBA/GBAS.php,SysGBA/GBAS.php,20120602045510,http://vgmapper.com:80/SysGBA/GBAS.php,Game Boy Advance maps and media,1398,6TK52RDTLPEAZH3KEVRIJBTNAT62XGN4
/SysGBA/GBAW.php,SysGBA/GBAW.php,20120826220810,http://vgmapper.com:80/SysGBA/GBAW.php,Game Boy Advance maps and media,1319,4X47TZXF25OERCTBPPT2U7J6P6DQ3DS3
/SysGBA/GBAY.php,SysGBA/GBAY.php,20120602045249,http://vgmapper.com:80/SysGBA/GBAY.php,Game Boy Advance maps and media,1324,7T7DSDCFZ2EVCFJRJEDCHSZPFERPFWYD
/SysGBA/M/MarioandLuigiSuperstarSaga.html,SysGBA/M/MarioandLuigiSuperstarSaga.html,20100608130115,http://www.vgmapper.com:80/SysGBA/M/MarioandLuigiSuperstarSaga.html,Mario and Luigi Superstar Saga maps and media,1624,6LI5TYVIET2B3SDFFK6DP5FIY6R4OY6X
/SysGBA/M/MarioPartyAdvance.html,SysGBA/M/MarioPartyAdvance.html,20100825151018,http://www.vgmapper.com:80/SysGBA/M/MarioPartyAdvance.html,Mario Party Advance maps and media,1213,SHQFHFCTCUS4U3UGV4CCLB5LXTUJAS3X
/SysGBA/M/MarioVsDonkeyKong.html,SysGBA/M/MarioVsDonkeyKong.html,20100607023342,http://www.vgmapper.com:80/SysGBA/M/MarioVsDonkeyKong.html,Mario Vs. Donkey Kong maps and media,2688,MUY5OTGEXE452QUW5376I4X5OLZTVHE3
/SysGBA/M/MetroidFusion.html,SysGBA/M/MetroidFusion.html,20111228231754,http://vgmapper.com/SysGBA/M/MetroidFusion.html,Metroid Fusion maps and media,994,ZGXTNRJEUNQQNK7OTAKGVXAR56WNLS54
/SysGBA/P/PokemonLeafGreenFireRed.html,SysGBA/P/PokemonLeafGreenFireRed.html,20121202133129,http://www.vgmapper.com:80/SysGBA/P/PokemonLeafGreenFireRed.html,Pokemon Leaf Green and Fire Red maps and media,1114,QIBFRXW45MLGACGHSBOTOROV7BICRANF
/SysGBA/P/PowerRangersDinoThunder.html,SysGBA/P/PowerRangersDinoThunder.html,20100608130154,http://www.vgmapper.com:80/SysGBA/P/PowerRangersDinoThunder.html,Power Rangers Dino Thunder maps and media,1104,X3L2FFXBFY4HXTMK557HAVMPOYOPZSLV
/SysGBA/P/PowerRangersTimeForce.html,SysGBA/P/PowerRangersTimeForce.html,20100608130120,http://www.vgmapper.com:80/SysGBA/P/PowerRangersTimeForce.html,Power Rangers Time Force maps and media,945,TGKOZKAADQ7AB5RUEWUZEKUHHLFWA4XH
/SysGBA/S/SuperMarioAdvance3YoshisIsland.html,SysGBA/S/SuperMarioAdvance3YoshisIsland.html,20120722223123,http://www.vgmapper.com/SysGBA/S/SuperMarioAdvance3YoshisIsland.html,Super Mario Advance 3 Yoshi's Island maps and media,1107,W3CZLCKPARKT2GGNJHAF3QQ7Z6VZSHV4
/SysGBA/S/SuperMarioAdvance4.html,SysGBA/S/SuperMarioAdvance4.html,20100806011233,http://www.vgmapper.com:80/SysGBA/S/SuperMarioAdvance4.html,Super Mario Advance 4 maps and media,1654,UFFTZWO5FKKD23WWVCQEEX57GGURJS7E
/SysGBA/W/WarioLand.html,SysGBA/W/WarioLand.html,20120831202316,http://vgmapper.com:80/SysGBA/W/WarioLand.html,Wario Land 4 maps and media,1467,V2IPCG45YRCMR544O45VJLUCNFRH6JZA
/SysGBA/Y/YoshiTopsyTurvy.html,SysGBA/Y/YoshiTopsyTurvy.html,20101225193928,http://vgmapper.com/SysGBA/Y/YoshiTopsyTurvy.html,Yoshi Topsy Turvy maps and media,1786,4XLSRNABUEP5LVRPWT2LMRIH2AZFPFPT
/SysGBC/(GameListGBC.php,SysGBC/(GameListGBC.php,20101225073521,http://vgmapper.com/SysGBC/(GameListGBC.php,Game Boy Color maps and media,1093,UHM7W73YJ4JZNS5S3LN463AQ5EZLZY5G
/SysGBC/B/BionicCommandoEliteForces.html,SysGBC/B/BionicCommandoEliteForces.html,20111229103009,http://vgmapper.com/SysGBC/B/BionicCommandoEliteForces.html,Bionic Commando Elite Forces maps and media,1224,EWZX44IN6MTVS43YIBBHLQJU4FRGVC3Q
/SysGBC/D/DragonWarrior3.html,SysGBC/D/DragonWarrior3.html,20120502084025,http://www.vgmapper.com:80/SysGBC/D/DragonWarrior3.html,Dragon Warrior 3 maps and media,1148,LEDTY42UBC4WQIJSAFS554Y3N5MZMAOZ
